Tabela 03 - Oferta e demanda da produção nacional a preço básico - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
24912,"Semi acabados, laminados planos, longos e tubos de aço",84667,161,265,16,70,1223,0,65,155,0,30,0,0,0,0,0,0,119,0,0,0,0,0,0,1,564,624,5549,95,13875,35,2418,6589,4757,5127,1144,1008,938,205,78,13066,927,19,0,0,5,0,0,0,0,0,12,0,0,0,20,0,176,0,0,109,32,0,4,0,0,0,0,59481,26894,0,0,107,80,-1895,25186,84667
24921,Produtos da metalurgia de metais não ferrosos,49697,0,0,0,0,0,0,6,242,0,332,0,0,0,0,0,0,177,189,0,0,18,145,0,8,58,60,1179,7439,1910,112,4540,770,346,1975,794,1581,227,11,70,1618,16,10,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,7,2,0,0,0,0,0,0,23866,25172,0,0,282,0,377,25831,49697
24922,Peças fundidas de aço e de metais não ferrosos,4725,0,0,0,0,0,0,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,259,0,0,763,583,0,1457,24,0,919,0,0,181,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4778,46,0,0,0,0,-99,-53,4725
25001,"Produtos de metal, exclusive máquinas e equipamentos",94638,331,479,47,51,1387,501,216,2445,63,2288,4202,16,58,68,48,224,100,18,327,53,391,835,986,148,121,156,2563,126,6990,813,2028,4899,2517,1663,2817,967,2462,2406,495,20933,1109,41,1,0,6,48,559,0,8,18,2,0,247,0,25,0,0,201,71,633,62,0,151,0,0,76,0,70496,6791,0,0,9709,7953,-311,24142,94638
26001,Componentes eletrônicos,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2768,135,20,8,60,2,9,126,49,0,0,10,0,0,0,49,0,0,0,0,0,102,0,0,0,1,0,0,0,0,60,5,0,0,0,3,32,0,3499,708,0,0,0,0,-157,551,4050
26002,Máquinas para escritório e equipamentos de informática,23593,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436,0,9,0,1,16,0,57,13,6,0,53,0,0,0,17,1,0,0,121,3,1015,156,1,152,155,61,19,183,12,246,328,61,36,43,2,64,0,5301,600,0,0,7292,10628,-228,18292,23593
26003,Material eletrônico e equipamentos de comunicações,43453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,1,0,8,0,2,1,0,0,0,3,10,0,0,0,0,0,0,0,1,4,0,49,0,9,17,0,0,325,31,16,0,0,0,0,13,176,0,2784,1347,0,0,22543,17499,-720,40669,43453
26004,"Equipamentos de medida, teste e controle, ópticos e eletromédicos",9914,0,0,0,0,128,0,0,11,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,1167,16,251,74,0,20,22,136,3,2,227,41,0,0,0,13,0,0,0,15,0,12,0,0,0,393,2,0,0,0,86,7,0,10,5,0,11,0,2788,1698,0,0,1244,4346,-162,7126,9914
27001,"Máquinas, aparelhos e materiais elétricos",56312,37,81,5,15,165,15,13,39,16,62,16,1,29,4,7,18,45,4,4,7,75,14,6,8,54,110,15,60,27,1449,6434,2176,793,708,364,205,1870,5493,164,7475,888,745,12,1,57,24,15,3,48,696,7,29,378,395,31,19,20,414,0,90,52,0,7,3,32,341,0,32390,8563,0,0,1203,14268,-112,23922,56312
27002,Eletrodomésticos,17784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,462,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,191,0,674,716,0,0,14462,1246,686,17110,17784
28001,Tratores e outras máquinas agrícolas,21336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,2258,0,0,79,16454,-18,18773,21336
28002,Máquinas para a extração mineral e a construção,17580,0,0,0,93,1049,710,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1373,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4298,6552,0,0,0,7174,-444,13282,17580
28003,Outras máquinas e equipamentos mecânicos,83204,10,18,4,27,1296,1071,334,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,36,2,0,11,28,28,336,7909,1034,3,490,0,3840,15,42,3211,489,19,67,0,106,4,0,0,0,38,0,2,0,0,3,1,0,1190,0,60,10,0,110,0,2,0,0,21880,15831,0,0,3698,42746,-951,61324,83204
