Tabela 11 - Matriz dos coeficientes técnicos dos insumos nacionais - Matriz Bn - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68
10921,Açúcar,4.849644844342566e-05,0.00043789867024770466,3.085372250161982e-05,0,0,0,0,0.0014028323105980455,0.025048891108059752,0.017387492694330802,0.012806760504421538,0,0,0,0,0,0,0,0,0.014915618216194767,0,0.005625369206809516,0,1.7249706754985164e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.993068444342696e-06,0,0,0,0,8.336807002917882e-05,0.003253873765810604,0,0,0,0,1.7403077908358872e-06,0,0,2.8231042854723054e-05,0,0,4.797773832941515e-06,0,8.75462049414969e-05,0.00022651229314573802,6.318430862826866e-05,0.00018977979961485865,8.981457780412339e-05,0,4.8080225290198505e-05,0
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",0,0,0,0,0,0,0,0.0003409117626313686,0,0.0053272149999210195,0.006475328344932238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5021555932763516e-05,0,0,0,4.168403501458941e-05,0.004274345868430711,0,0,0,0,0,0,0,1.4115521427361527e-05,0,0,0,0,0.0002890414385370056,0.0006730650996330501,0.0001805265960807676,0.0005693393988445759,0.0002469900889613393,0,4.1211621677313004e-05,0
10932,Óleos e gorduras vegetais e animais,0.0010022599344974637,0.01076500897692274,0.0001542686125080991,0,0,0,0,0.02322510364501289,0,0.04814238551818914,0,0,0,0,0,0,0,0,0,0.04873835811488994,6.871293795908832e-06,0.0011948874926158638,0.01885114268066708,0,0,0,0,0,0,0,0,0,0,0,0,8.522969402539845e-05,0,0,0,0,0.0003225035725219689,0,0,0,0,0.00016673614005835764,0.007917610304977934,0,0,0,0,0,0,0,1.4115521427361527e-05,0,0,0,0,0.000130624496261916,0.000339768439718607,7.221063843230704e-05,0.0003069967346710949,9.430530669432956e-05,0,7.55546397417405e-05,0
10933,Café beneficiado,0,0,0,0,0,0,0,0,0,0.0007503119718198619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.993761599908428e-05,0,0,0.0009106004606567037,0,0.0027928303459774906,0.006821050370144925,0,0,0,0,0.00030455386339628025,2.198088029762112e-05,5.855174910043222e-05,0,0,0,4.797773832941515e-06,0,9.310469414413163e-05,0.0002459276325582298,6.318430862826866e-05,0.0001841980408026569,0.0002514808178515455,0,0.0001030290541932825,0
10934,Arroz beneficiado e produtos derivados do arroz,4.526335188053062e-05,0.00018245777926987694,0,0,0,0,0,0,0,0.0010188446775238125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020842017507294707,0.003495564526957471,0,0,0,0,0,0,0,0,0,0,0,0,0.00028209332703371226,0.0006601215400247222,0.00016247393647269084,0.0005414306047835673,0.0002514808178515455,0,0.00010989765780616801,0
10935,"Produtos derivados do trigo, mandioca ou milho",3.879715875474053e-05,0.0016932081916244581,3.085372250161982e-05,0.000962854102265241,0,5.6868803669933464e-05,0,0.010768109467942539,0,0.028448670763106764,0.017973941708963423,0,0,0,0,0,0.006709237337714876,0,0,0,0,0.00408141345792385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026917692545988556,0,0,0,0,8.336807002917882e-05,0.006650971686374907,0,0,0,0,0,0,0,4.234656428208458e-05,0,0,0,0,9.866318334676635e-05,0.00023621996285198393,2.707898941211514e-05,0.00015070748792944658,6.736093335309255e-05,0,0.0002129267119994505,0
10936,Rações balanceadas para animais,0.0028192602028444783,0.06661898436701748,0.024868100336305574,0,0,0,0,0.04541571642410991,0,0.0031750043439114158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020137784843667197,0,0,0,7.087073733359273e-05,0.0001844457244186724,0,3.349055287321035e-05,2.2453644451030846e-05,0.0006930207039935318,0.0044371179339240336,0
10937,Outros produtos alimentares,3.233096562895044e-05,0.0005327767154680407,6.170744500323964e-05,0,0,0,0,0.00809567473099319,0,0.017521759047182776,0.0026293757521846056,0,0,0,0,0,0,0,0,0,0,0.00016110842597067828,0,8.624853377492582e-05,0,0,0,0,0,0,0,0,0,2.8370001560350086e-05,0,0,0,0,0,0,0.00020622059426052657,3.0043111865527033e-06,0,0,0.00013027165983464184,0.00846185910796165,0.015392120881186612,0,0,8.693546283819448e-05,0,3.4806155816717745e-06,0,9.581195307343454e-05,7.057760713680764e-05,0.00010598834128245893,0,0,0,0.0007948639559767656,0.002491635224603118,0.0008575013313836461,0.005302670871591639,0.0017424028093999937,0.00017325517599838295,0.0002129267119994505,0
11001,Bebidas,0,0,0,0,0,0,0,0.0019239962695632412,0,3.949010377999273e-06,0.13108942493851708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4535372282680287e-05,2.103017830586892e-05,0,0.00013391183244951523,0,0.02209253855773239,0.1074852523878152,0,0,0,0,0.00025060432188036777,0,1.0645772563714949e-05,0,0,0,4.797773832941515e-06,0,0.00010839053945137712,0.0002847583113832135,7.221063843230704e-05,0.00023443387011247245,0.0008262941157979351,0.0006641448413271347,8.92918469675115e-05,0
12001,Produtos do fumo,0,0,0,0,0,0,0,0,0,0,0,0.04879342349509414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
